start_station_name,member_casual,number_of_rides
Public Rack - Midway Orange Line,casual,90
Public Rack - Woodlawn Ave & 63rd St - NE,member,90
Altgeld Gardens,casual,91
California & 16th St,casual,91
Kedzie Ave & 45th St,member,91
Kostner Ave & Lake St,casual,91
Public Rack - Keystone Ave & North Ave,member,91
Washtenaw Ave & Superior St,casual,91
Wentworth Ave & 24th St,casual,91
Ashland Ave & 63rd St,member,92
Cottage Grove Ave & 111th Pl,casual,92
Green St & Madison Ave*,casual,92
Campbell Ave & Augusta Blvd,member,93
Central Ave & Harrison St,casual,93
Greenwood Ave & 79th St,casual,93
Homewood Ave & 115th St,casual,93
Kilpatrick Ave & Grand Ave,member,93
Midway Orange Line,casual,93
Pulaski Rd & 44th St,member,93
Cottage Grove Ave & 78th St,member,94
Fullerton & Monitor,member,94
Hyde Park Blvd & 55th St,casual,94
Martin Luther King Dr & 111th St,member,94
Olive Harvey College,member,94
Vernon Ave & 107th St,casual,94
Komensky Ave & 55th St,member,95
State St & Pershing Rd,casual,95
Austin Blvd & Chicago Ave,member,96
Kenton Ave & Madison St,casual,96
Kildare Ave & 47th St,member,96
Mozart St & Jackson Blvd,member,96
Public Rack - Hoyne Ave & 110th Pl,member,96
Walden Pkwy & 100th St,member,96
Jeffery Blvd & 76th St,casual,97
Torrence Ave & 106th St,casual,97
Halsted St & 63rd St,casual,98
Kildare Ave & 47th St,casual,98
Avenue O & 118th St,casual,99
Harding Ave & 26th St,member,99
Yates Blvd & 75th St,member,99
Halsted St & 51st St,casual,100
Homewood Ave & 115th St,member,100
Western Ave & Lake St,casual,100
Ashland Ave & 63rd St,casual,101
California Ave & 26th St,casual,101
Exchange Ave & 79th St,casual,101
Lamon Ave & Chicago Ave,casual,101
State St & Pershing Rd,member,101
Virginia Ave & Catalpa Ave,casual,101
Central Ave & Madison St,member,102
Mason Ave & Belmont Ave,casual,102
W 103rd St & S Avers Ave,casual,102
Central Park Ave & Ohio St,member,103
Public Rack - Avers Ave & Irving Park Rd,member,103
Sacramento Blvd & Fulton Ave,member,103
Stewart Ave & 63rd St,casual,103
Halsted & 63rd - Kennedy-King Vaccination Site,member,104
Lavergne & Fullerton,member,104
Oketo Ave & Addison St,casual,104
Archer Ave & 43rd St,casual,105
Avenue O & 134th St,casual,105
Karlov Ave & Madison St,casual,105
Kostner Ave & Armitage Ave,member,105
Vernon Ave & 75th St,member,105
Central Ave & Madison St,casual,106
Laramie Ave & Madison St,member,106
Public Rack - Monticello Ave & Belmont Ave,member,106
Racine Ave & Garfield Blvd,member,106
Virginia Ave & Catalpa Ave,member,106
Hamlin Ave & 62nd Pl,casual,107
Kostner Ave & 63rd St,casual,107
Meade Ave & Diversey Ave,member,107
Public Rack - Washtenaw Ave & Superior St,casual,107
State St & 54th St,member,107
Albany Ave & 16th St,casual,108
Public Rack - Walden Pkwy & 103rd St,member,108
Sacramento Ave & Pershing Rd,casual,108
Cicero Ave & Quincy St,casual,109
Public Rack - Milwaukee Ave & School St,casual,109
Dauphin Ave & 87th St,casual,110
Houston Ave & 92nd St,casual,110
Summit Ave & 86th St,member,110
Cottage Grove Ave & 111th Pl,member,111
Halsted St & 96th St,casual,111
Kedzie Ave & Roosevelt Rd,member,111
Richmond St & Lincoln Ave,casual,111
State St & 54th St,casual,111
Central Park Blvd & 5th Ave,casual,112
Damen Ave & 51st St,casual,112
Hegewisch Metra Station,casual,112
Kedzie Ave & 45th St,casual,113
Perry Ave & 69th St,member,113
Baltimore Ave & 87th St,casual,114
Hoyne Ave & 47th St,member,114
Komensky Ave & 55th St,casual,114
N Clark St & W Elm St,casual,115
Richmond St & Lincoln Ave,member,115
Shields Ave & 43rd St,member,115
Maryland Ave & 104th St,casual,116
Burnham Greenway & 112th St,member,117
Komensky Ave & 31st St,member,117
Orange & Addison,casual,117
Shabbona Park,casual,118
Indiana Ave & 40th St,member,119
Major Taylor Trail & 115th St,casual,119
Commercial Ave & 83rd St,casual,120
Public Rack - Kenton Ave & Palmer St,casual,121
Stewart Ave & 83rd St,casual,121
Homan Ave & 65th St,casual,122
Long Ave & Belmont Ave,member,122
Pulaski Rd & Congress Pkwy,casual,122
Stony Island Ave & 82nd St,member,122
Ellis Ave & 83rd St,casual,124
Latrobe Ave & Chicago Ave,casual,124
Public Rack - Cicero Ave & Wrightwood Ave,casual,124
Public Rack - Lowell Ave & Elston Ave,member,124
Public Rack - Western Blvd & 49th St,casual,125
Hale Ave & 107th St,casual,126
Public Rack - Milwaukee Ave & Haussen Ct,member,126
Prospect Sq & 91st St,casual,127
Phillips Ave & 79th St,member,128
Racine Ave & Garfield Blvd,casual,128
Kedzie Ave & 110th St,casual,129
Kedzie Ave & Harrison St,casual,129
Public Rack - Hamlin Ave & Montrose Ave,casual,130
Washtenaw Ave & Peterson Ave,member,130
Western Ave & 111th St,member,130
Exchange Ave & 79th St,member,131
Narragansett Ave & School St,member,131
Western Ave & Ardmore Ave,casual,131
Stony Island Ave & 71st St,member,132
Tripp Ave & 65th St,casual,132
Public Rack - Mozart Elementary School,casual,133
Sayre & Diversey,member,133
California Ave & Marquette Rd,casual,134
Kedzie Ave & 24th St,member,135
Ping Tom Park (East),member,135
Public Rack - California Ave & Cortez St,member,135
Shields Ave & 43rd St,casual,135
Halsted St & 78th St,casual,136
Greenwood Ave & 97th St,member,137
Laramie Ave & Madison St,casual,137
Pulaski Rd & 60th St,casual,137
Public Rack - Spaulding Ave & North Ave,casual,138
Francisco Ave & 47th St,casual,139
Public Rack - Spaulding Ave & Evergreen Ave,casual,139
Stony Island Ave & 67th St,member,139
Ashland Ave & Garfield Blvd,casual,140
Central Park Ave & Ohio St,casual,141
Marshfield Ave & 44th St,casual,141
Maryland Ave & 104th St,member,141
Rockwell St & Archer Ave,member,141
Union Ave & Root St,member,141
Ashland Ave & Pershing Rd,casual,142
Cicero Ave & Grace St,casual,142
Public Rack - Kedzie Ave & Argyle St,member,142
Vernon Ave & 79th St,casual,142
Western Blvd & 48th Pl,member,143
Ashland Ave & 50th St,member,144
Doty Ave & 111th St,casual,144
Public Rack - Washtenaw Ave & Devon Ave,casual,144
Rainbow Beach,casual,144
Rockwell St & 57th St,casual,145
Public Rack - Monticello Ave & Belmont Ave,casual,146
Stony Island Ave & 75th St,casual,146
Public Rack - Lawndale Ave & Diversey Ave,casual,147
Public Rack - Western Ave & Devon Ave,member,149
Kostner Ave & Armitage Ave,casual,150
Marshfield Ave & 44th St,member,150
Chicago State University,casual,151
St Louis Ave & 59th St,casual,152
Albany Ave & 26th St,member,153
Eggleston Ave & 69th St,member,153
Elizabeth St & 59th St,member,153
Indiana Ave & 103rd St,casual,153
Kilbourn & Roscoe,member,153
Seeley Ave & Garfield Blvd,casual,153
Kilpatrick Ave & Grand Ave,casual,154
Washtenaw Ave & Peterson Ave,casual,155
Ashland Ave & Pershing Rd,member,156
Austin Blvd & Lake St,member,156
Campbell Ave & Montrose Ave (Temp),member,156
Kedzie Ave & 52nd St,casual,156
Public Rack - Christiana Ave & Belmont Ave,member,156
Austin Blvd & Chicago Ave,casual,157
Central Ave & Roscoe St,casual,158
Cottage Grove Ave & 71st St,casual,158
Mulligan Ave & Wellington Ave,member,158
Public Rack - Washtenaw Ave & Superior St,member,158
Pulaski Rd & Lake St,casual,158
Ashland Ave & McDowell Ave,casual,160
Burnham Greenway & 105th St,casual,160
Harding Ave & 26th St,casual,161
Public Rack - Milwaukee Ave & Haussen Ct,casual,161
Wentworth Ave & 24th St,member,161
Halsted & 63rd - Kennedy-King Vaccination Site,casual,162
Long Ave & Belden Ave,casual,162
N Clark St & W Elm St,member,162
Yates Blvd & 75th St,casual,162
Evans Ave & 75th St,member,164
Kedzie Ave & 24th St,casual,164
Komensky Ave & 31st St,casual,164
Lawndale Ave & 111th St,casual,164
Oak Park & Wellington,casual,164
Artesian Ave & 55th St,casual,165
Laramie Ave & Kinzie St,casual,166
Sacramento Blvd & Franklin Blvd,casual,166
Stony Island Ave & 64th St,member,166
Calumet Park,casual,167
Eggleston Ave & 69th St,casual,167
St Louis Ave & Norman Bobbins Ave,casual,167
Public Rack - Pulaski Rd & Armitage Ave,member,168
Kedzie Ave & 57th St,member,169
Commercial Ave & 130th St,casual,170
Harlem & Irving Park,member,170
Long Ave & Belden Ave,member,170
Central Park Ave & 24th St,member,171
Fairfield Ave & 44th St,casual,171
Central Ave & Chicago Ave,casual,173
MLK Jr Dr & 63rd St,member,173
Mulligan Ave & Wellington Ave,casual,175
Halsted St & 37th St,casual,176
Lincoln Ave & Byron St,casual,176
Public Rack - Lowell Ave & Elston Ave,casual,176
Narragansett Ave & School St,casual,178
Phillips Ave & 79th St,casual,178
Jeffery Blvd & 67th St,member,180
Cottage Grove Ave & 83rd St,casual,182
Lawndale Ave & 30th St,casual,182
Public Rack - California Ave & Cortez St,casual,183
Wentworth Ave & 63rd St,member,183
Elizabeth St & 92nd St,member,185
Austin Blvd & Madison St,casual,188
Cottage Grove Ave & 67th St,member,188
Western Ave & 104th St,casual,189
Ping Tom Park (East),casual,193
Central Ave & Lake St,casual,194
Central Ave & Roscoe St,member,195
Halsted St & 47th Pl,member,195
Long Ave & Belmont Ave,casual,196
Public Rack - Hamlin Ave & Montrose Ave,member,196
Narragansett & Irving Park,casual,197
California Ave & Winona St,casual,198
Public Rack - Christiana Ave & Belmont Ave,casual,198
Meade Ave & Diversey Ave,casual,199
Public Rack - Spaulding Ave & Evergreen Ave,member,201
Hoyne Ave & 47th St,casual,204
Central Ave & Parker Ave,casual,205
Halsted St & 47th Pl,casual,205
Public Rack - Kostner Ave & Armitage Ave,casual,205
Public Rack - Lockwood Ave & Diversey Ave,member,206
Kilbourn & Belden,casual,207
Millard Ave & 26th St,member,207
MTV Hubbard St,casual,208
Albany Ave & 26th St,casual,210
Kostner Ave & Wrightwood Ave,member,210
Cicero Ave & Lake St,casual,212
Damen Ave & Pershing Rd,casual,212
MLK Jr Dr & 56th St,member,213
Public Rack - Spaulding Ave & North Ave,member,213
Cottage Grove Ave & 83rd St,member,214
Damen Ave & Pershing Rd,member,214
Lamon Ave & Belmont Ave,member,214
Public Rack - Cicero Ave & Wrightwood Ave,member,214
Kilbourn Ave & Milwaukee Ave,casual,215
Princeton Ave & Garfield Blvd,casual,215
Archer (Damen) Ave & 37th St,casual,216
Kilbourn Ave & Milwaukee Ave,member,216
Wabash Ave & 87th St,member,217
Wabash Ave & 87th St,casual,218
Fullerton & Monitor,casual,219
Lamon Ave & Armitage Ave,casual,219
State St & 79th St,member,219
Stony Island Ave & 75th St,member,219
Big Marsh Park,casual,223
Eberhart Ave & 61st St,member,223
Millard Ave & 26th St,casual,223
Central Ave & Chicago Ave,member,224
Wentworth Ave & Cermak Rd*,casual,225
Lincolnwood Dr & Central St,casual,228
Princeton Ave & Garfield Blvd,member,228
Pulaski Rd & 21st St,casual,228
Public Rack - Pulaski Rd & Armitage Ave,casual,229
Public Rack - Hamlin Ave & Fullerton Ave,casual,232
Jeffery Blvd & 71st St,casual,233
Kenosha & Wellington,casual,234
Lawler Ave & 50th St,casual,234
Public Rack - Washtenaw Ave & Devon Ave,member,234
Walden Pkwy & 100th St,casual,235
Damen Ave & 59th St,casual,236
Ewing Ave & Burnham Greenway,casual,236
Public Rack - Racine Ave & 109th Pl,member,237
Eberhart Ave & 61st St,casual,241
Central Ave & Parker Ave,member,243
South Shore Dr & 74th St,member,243
Halsted St & 51st St,member,244
Rockwell St & Archer Ave,casual,244
Dodge Ave & Mulford St,member,245
Kostner Ave & Wrightwood Ave,casual,245
Cottage Grove Ave & 67th St,casual,247
Central Park Ave & 24th St,casual,248
Lincoln Ave & Peterson Ave,member,249
Indiana Ave & 40th St,casual,250
Union Ave & Root St,casual,250
Kedzie Ave & Roosevelt Rd,casual,253
Fairfield Ave & Roosevelt Rd,member,258
N Damen Ave & W Chicago Ave,casual,258
South Shore Dr & 74th St,casual,258
Austin Blvd & Madison St,member,259
Lockwood Ave & Wrightwood Ave,casual,259
Western Ave & 111th St,casual,259
Ewing Ave & Burnham Greenway,member,260
Pulaski Rd & Eddy St (Temp),member,261
Central Park Ave & Ogden Ave,member,262
Kedzie Ave & 21st St,member,262
Sacramento Blvd & Franklin Blvd,member,263
California Ave & 23rd Pl,casual,265
Dodge Ave & Main St,casual,265
Eastlake Ter & Howard St,casual,267
Fairfield Ave & Roosevelt Rd,casual,267
Narragansett & Irving Park,member,267
California Ave & 26th St,member,269
Dodge Ave & Mulford St,casual,269
MLK Jr Dr & 56th St,casual,271
Kilpatrick Ave & Parker Ave,member,280
MLK Jr Dr & 63rd St,casual,281
Albany Ave & Belmont Ave,member,283
Halsted St & 96th St,member,283
Public Rack - Lawndale Ave & Diversey Ave,member,284
63rd St Beach,member,286
Wolcott Ave & Fargo Ave,casual,286
Halsted St & 37th St,member,288
Western Blvd & 48th Pl,casual,289
Lincoln Ave & Peterson Ave,casual,292
Campbell Ave & Irving Park Rd,member,293
Wentworth Ave & Cermak Rd*,member,294
Oakley Ave & Touhy Ave,casual,297
Rockwell St & Cermak Rd,casual,297
W Washington Blvd & N Peoria St,casual,297
Stony Island Ave & 64th St,casual,298
Kilbourn Ave & Irving Park Rd,casual,302
Austin Blvd & Lake St,casual,305
Washtenaw Ave & Polk St,casual,305
Whipple/Irving Park,member,305
Perry Ave & 69th St,casual,307
Malcolm X College,casual,308
Albany Ave & Belmont Ave,casual,309
California Ave & Francis Pl,casual,309
State St & 29th St,casual,309
Stony Island Ave & 71st St,casual,309
Jeffery Blvd & 71st St,member,310
Damen Ave & Coulter St,casual,312
Campbell Ave & Irving Park Rd,casual,313
Kilpatrick Ave & Parker Ave,casual,313
Kostner Ave & Adams St,member,315
Bosworth Ave & Howard St,casual,316
MLK Jr Dr & 47th St,member,316
Normal Ave & Archer Ave,casual,316
Public Rack - Hamlin Ave & Fullerton Ave,member,318
Lincoln Ave & Balmoral Ave,casual,319
Stony Island Ave & 67th St,casual,319
Ashland Ave & McDowell Ave,member,321
Public Rack - Kostner Ave & Armitage Ave,member,324
Lincoln Ave & Byron St,member,325
Public Rack - Milwaukee Ave & Diversey Ave,casual,325
May St & 69th St,member,328
MLK Jr Dr & 47th St,casual,329
Western Ave & 24th St,casual,329
Maplewood Ave & Peterson Ave,casual,331
Long & Irving Park,member,334
Ridge Blvd & Howard St,casual,334
Clark St & Jarvis Ave,casual,335
Wood St & 35th St,casual,337
Kilbourn & Roscoe,casual,338
Kilbourn Ave & Irving Park Rd,member,339
Lincolnwood Dr & Central St,member,341
Archer (Damen) Ave & 37th St,member,343
Wolcott Ave & Fargo Ave,member,343
Kedzie Ave & 21st St,casual,345
Kedzie Ave & 57th St,casual,347
Burnham Greenway & 112th St,casual,349
Dodge Ave & Main St,member,349
Lamon Ave & Belmont Ave,casual,357
Sacramento Blvd & Addison St,member,360
Wentworth Ave & 63rd St,casual,362
Whipple/Irving Park,casual,364
Valli Produce - Evanston Plaza,member,365
Lincoln Ave & Balmoral Ave,member,368
Green St & Madison Ave*,member,370
Valli Produce - Evanston Plaza,casual,370
Sayre & Diversey,casual,372
Conservatory Dr & Lake St,member,373
Lavergne & Fullerton,casual,375
2112 W Peterson Ave,casual,376
Public Rack - Milwaukee Ave & Diversey Ave,member,376
Racine Ave & 35th St,casual,378
Racine Ave & 13th St,casual,379
State St & 95th St,member,379
Narragansett & Wrightwood,member,382
63rd St Beach,casual,383
State St & 79th St,casual,384
Kenosha & Wellington,member,385
Ridge Blvd & Touhy Ave,casual,386
Elmwood Ave & Austin St,casual,387
Kedzie Ave & Chicago Ave,casual,387
Milwaukee Ave & Cuyler Ave,casual,387
Oakley Ave & Touhy Ave,member,387
Princeton Ave & 47th St,casual,392
Kedzie Ave & 48th Pl,member,393
Chicago State University,member,399
Clark St & Touhy Ave,casual,403
Maplewood Ave & Peterson Ave,member,405
DuSable Museum,casual,408
Princeton Ave & 47th St,member,410
Jeffery Blvd & 67th St,casual,413
Washtenaw Ave & Ogden Ave,casual,413
Keystone Ave & Montrose Ave,casual,415
Warren Park East,casual,415
Cottage Grove Ave & Oakwood Blvd,member,418
Kildare Ave & Montrose Ave,casual,420
St. Louis Ave & Balmoral Ave,casual,420
California Ave & Francis Pl,member,421
Pulaski Rd & Eddy St (Temp),casual,423
Washtenaw Ave & Ogden Ave,member,429
Elston Ave & Henderson St,member,441
Kedzie Ave & Bryn Mawr Ave,casual,441
Western Ave & Berteau Ave,member,442
Dorchester Ave & 63rd St,casual,448
Francisco Ave & Bloomingdale Ave,casual,449
Western Ave & Gunnison St,casual,449
N Shore Channel Trail & Argyle St,casual,451
Milwaukee Ave & Cuyler Ave,member,452
Pulaski Rd & 51st St,member,453
Washtenaw Ave & Polk St,member,454
Western Ave & Berteau Ave,casual,457
Clinton St & Polk St,casual,458
Cottage Grove Ave & 43rd St,casual,458
Western Ave & Gunnison St,member,460
Loomis St & Lexington St*,member,462
Western Ave & Howard St,casual,462
Dorchester Ave & 63rd St,member,463
Calumet Ave & 51st St,casual,465
Warren Park West,casual,468
Dodge Ave & Church St,casual,469
Ridge Blvd & Touhy Ave,member,469
Elston Ave & Henderson St,casual,470
Kedzie Ave & Lake St,casual,471
California Ave & 23rd Pl,member,475
Lockwood Ave & Wrightwood Ave,member,476
Conservatory Dr & Lake St,casual,478
Shields Ave & 28th Pl,casual,480
California Ave & 21st St,casual,483
Dorchester Ave & 49th St,casual,483
Kedzie Ave & George St,casual,485
Budlong Woods Library,casual,490
Woodlawn Ave & Lake Park Ave,casual,492
Elizabeth St & Randolph St,casual,493
Malcolm X College Vaccination Site,casual,496
California Ave & Lake St,member,500
Eastlake Ter & Rogers Ave,casual,505
California Ave & Winona St,member,507
Damen Ave & Coulter St,member,509
State St & 95th St,casual,515
Harlem & Irving Park,casual,517
W Washington Blvd & N Peoria St,member,517
Central St & Girard Ave,casual,520
N Damen Ave & W Chicago Ave,member,528
Central Park Ave & Ogden Ave,casual,530
N Shore Channel Trail & Argyle St,member,539
Prairie Ave & 43rd St,member,540
South Shore Dr & 67th St,casual,540
Eastlake Ter & Howard St,member,542
Ogden Ave & Roosevelt Rd,casual,545
Western Ave & Granville Ave,casual,548
Ridge Blvd & Howard St,member,549
DuSable Museum,member,551
Prairie Ave & 43rd St,casual,557
Bernard St & Elston Ave,casual,559
Cottage Grove Ave & 47th St,casual,559
Budlong Woods Library,member,562
Sawyer Ave & Irving Park Rd,member,562
Kedzie Ave & Chicago Ave,member,563
Clark St & Touhy Ave,member,569
Troy St & Grace St,member,570
Cottage Grove Ave & 63rd St,casual,573
Loomis St & Archer Ave,casual,578
Kildare Ave & Montrose Ave,member,585
N Southport Ave & W Newport Ave,casual,588
2112 W Peterson Ave,member,590
Long & Irving Park,casual,590
Western Ave & 24th St,member,590
Emerald Ave & 28th St,casual,593
Calumet Ave & 35th St,casual,594
N Paulina St & Lincoln Ave,casual,596
Base - 2132 W Hubbard,member,597
Western Ave & Lunt Ave,casual,598
Central St Metra,member,601
Evanston Civic Center,member,606
Leavitt St & Archer Ave,casual,606
MLK Jr Dr & Pershing Rd,casual,611
Sacramento Blvd & Addison St,casual,611
Drake Ave & Montrose Ave,casual,612
Pulaski Rd & 51st St,casual,612
Knox Ave & Montrose Ave,casual,616
Western Ave & 21st St,casual,616
Lincoln Ave & Roscoe St,casual,618
Ashland Ave & 13th St,casual,620
California Ave & Lake St,casual,632
Keystone Ave & Fullerton Ave,casual,633
Dodge Ave & Church St,member,634
Rockwell St & Cermak Rd,member,642
Francisco Ave & Bloomingdale Ave,member,643
Base - 2132 W Hubbard,casual,647
Kedzie Ave & Lake St,member,648
Kedzie Ave & Bryn Mawr Ave,member,649
Manor Ave & Leland Ave,casual,649
Malcolm X College Vaccination Site,member,650
South Shore Dr & 71st St,casual,651
Leavitt St & Archer Ave,member,652
Wells St & Institute Pl,casual,655
Calumet Ave & 51st St,member,658
Warren Park East,member,659
Sawyer Ave & Irving Park Rd,casual,660
Troy St & Grace St,casual,663
Kedzie Ave & Foster Ave,casual,664
Central St Metra,casual,670
Normal Ave & Archer Ave,member,671
Ashland Ave & Archer Ave,casual,672
Narragansett & Wrightwood,casual,673
Kedzie Ave & George St,member,676
St. Louis Ave & Balmoral Ave,member,681
Evanston Civic Center,casual,683
Francisco Ave & Montrose Ave,casual,685
Indiana Ave & 31st St,casual,687
Western Ave & Grace St,casual,688
Kedzie Ave & Foster Ave,member,689
Malcolm X College,member,693
California Ave & 21st St,member,696
Central Park Ave & North Ave,member,701
Bosworth Ave & Howard St,member,705
Cottage Grove Ave & Oakwood Blvd,casual,706
Wallace St & 35th St,casual,713
Winchester (Ravenswood) Ave & Balmoral Ave,casual,715
Clinton St & Polk St,member,716
Racine Ave & 13th St,member,720
Glenwood Ave & Touhy Ave,casual,723
Cottage Grove Ave & 51st St,casual,725
Prairie Ave & Garfield Blvd,casual,733
Shields Ave & 31st St,casual,736
Keystone Ave & Fullerton Ave,member,738
N Paulina St & Lincoln Ave,member,738
Elmwood Ave & Austin St,member,739
Central St & Girard Ave,member,740
Kedzie Ave & Leland Ave,casual,741
Central Park Ave & North Ave,casual,742
Dorchester Ave & 49th St,member,742
N Southport Ave & W Newport Ave,member,745
Wood St & 35th St,member,747
Warren Park West,member,748
South Shore Dr & 67th St,member,752
Elston Ave & George St,casual,753
Keystone Ave & Montrose Ave,member,765
Eastlake Ter & Rogers Ave,member,771
Smith Park,casual,773
Monticello Ave & Irving Park Rd,casual,778
Western Ave & Monroe St,casual,782
MLK Jr Dr & Pershing Rd,member,788
Halsted St & North Branch St,casual,793
Albany Ave & Montrose Ave,casual,799
Greenwood Ave & 47th St,casual,800
MTV Hubbard St,member,801
Wentworth Ave & 24th St (Temp),casual,805
Buckingham Fountain (Temp),member,814
Drake Ave & Addison St,casual,814
Elston Ave & George St,member,815
Francisco Ave & Foster Ave,casual,819
Kedzie Ave & 48th Pl,casual,820
N Sheffield Ave & W Wellington Ave,casual,821
Lincoln Ave & Roscoe St,member,830
Elizabeth St & Fulton St,casual,833
Clark St & Jarvis Ave,member,835
Indiana Ave & 26th St,casual,845
Prairie Ave & Garfield Blvd,member,845
Wood St & Webster Ave,casual,851
Western Ave & Howard St,member,856
Halsted St & 35th St,casual,860
South Shore Dr & 71st St,member,861
Western Ave & Grace St,member,863
Halsted St & 21st St,casual,889
Francisco Ave & Montrose Ave,member,890
Loomis St & Archer Ave,member,891
Cherry Ave & Blackhawk St,casual,892
Wentworth Ave & 33rd St,casual,895
State St & 29th St,member,899
Halsted St & Fulton St,casual,902
Campbell Ave & Montrose Ave,casual,907
Western Ave & Congress Pkwy,casual,914
Cottage Grove Ave & 63rd St,member,915
Western Ave & Granville Ave,member,918
Knox Ave & Montrose Ave,member,925
Rockwell St & Fletcher St,casual,931
Sheridan Rd & Greenleaf Ave,casual,932
Wells St & 19th St,member,934
Wood St & Taylor St (Temp),casual,938
Green St & Randolph St,casual,944
Clark St & Columbia Ave,casual,949
Cottage Grove Ave & 43rd St,member,952
N Carpenter St & W Lake St,casual,961
Drake Ave & Montrose Ave,member,965
Racine Ave & 35th St,member,965
Hoyne Ave & Balmoral Ave,casual,971
Ogden Ave & Congress Pkwy,casual,972
Ashland Ave & Archer Ave,member,976
Western Ave & Lunt Ave,member,980
Woodlawn Ave & Lake Park Ave,member,1000
Calumet Ave & 33rd St,casual,1004
Western Ave & 21st St,member,1004
Rockwell St & Fletcher St,member,1013
Canal St & Harrison St,casual,1017
Hermitage Ave & Polk St,casual,1018
Lincoln Ave & Winona St,casual,1019
State St & 35th St,casual,1023
Wentworth Ave & 35th St,casual,1029
Paulina St & Howard St,casual,1030
Christiana Ave & Lawrence Ave,casual,1033
Elizabeth St & Randolph St,member,1040
Monticello Ave & Irving Park Rd,member,1043
Green St & Randolph St,member,1047
Troy St & Elston Ave,casual,1051
Cottage Grove Ave & 51st St,member,1055
Washtenaw Ave & Lawrence Ave,casual,1057
Rhodes Ave & 32nd St,casual,1058
Cottage Grove Ave & 47th St,member,1061
California Ave & Byron St,casual,1074
May St & Cullerton St,casual,1082
Elizabeth (May) St & Fulton St,casual,1092
Oakley Ave & Irving Park Rd,casual,1095
Spaulding Ave & Division St,casual,1105
Western Ave & Fillmore St,casual,1107
Lake Park Ave & 47th St,casual,1121
Wentworth Ave & 35th St,member,1125
Morgan St & 31st St,casual,1126
Avers Ave & Belmont Ave,casual,1141
Avondale Ave & Irving Park Rd,casual,1142
Wentworth Ave & 24th St (Temp),member,1145
Kedzie Ave & Leland Ave,member,1151
Leavitt St & Lawrence Ave,casual,1152
Harper Ave & 59th St,casual,1160
N Sheffield Ave & W Wellington Ave,member,1167
Racine Ave & Fullerton Ave (Temp),casual,1177
Halsted St & Archer Ave,casual,1193
Wood St & Webster Ave,member,1202
Drake Ave & Addison St,member,1203
Rockwell St & Eastwood Ave,casual,1208
Clark St & Schreiber Ave,casual,1216
Christiana Ave & Lawrence Ave,member,1221
Racine Ave & 15th St,casual,1222
Smith Park,member,1226
W Armitage Ave & N Sheffield Ave,casual,1227
Lake Park Ave & 35th St,casual,1229
Emerald Ave & 31st St,casual,1238
Claremont Ave & Hirsch St,casual,1241
Damen Ave & Wabansia Ave,casual,1241
Artesian Ave & Hubbard St,casual,1246
State St & 19th St,casual,1248
Wallace St & 35th St,member,1251
Avers Ave & Belmont Ave,member,1259
Damen Ave & Cullerton St,casual,1270
Bissell St & Armitage Ave,casual,1272
Laflin St & Cullerton St,casual,1276
Avondale Ave & Irving Park Rd,member,1284
Morgan Ave & 14th Pl,casual,1286
Sheridan Rd & Greenleaf Ave,member,1287
Damen Ave & Walnut (Lake) St,casual,1291
Ravenswood Ave & Berteau Ave,casual,1295
Clinton St & 18th St,casual,1299
Clark St & Elmdale Ave,casual,1303
Buckingham Fountain,member,1320
Wells St & 19th St,casual,1327
Halsted St & 18th St,casual,1336
Kosciuszko Park,casual,1346
Damen Ave & Madison St,casual,1347
California Ave & Montrose Ave,casual,1348
Elston Ave & Wabansia Ave,casual,1350
Leavitt St & Addison St,casual,1360
Winchester Ave & Elston Ave,casual,1364
Halsted St & North Branch St,member,1368
Halsted St & 21st St,member,1369
Sheridan Rd & Columbia Ave,casual,1381
Kimball Ave & Belmont Ave,casual,1384
Wilton Ave & Diversey Pkwy*,casual,1391
Troy St & Elston Ave,member,1392
Greenview Ave & Jarvis Ave,casual,1402
Southport Ave & Clark St,casual,1407
Chicago Ave & Washington St,casual,1415
Western Ave & Roscoe St,casual,1416
Kimball Ave & Belmont Ave,member,1417
Paulina St & Flournoy St,casual,1420
Richmond St & Diversey Ave,casual,1425
Clinton St & Tilden St,casual,1434
Wolcott Ave & Polk St,casual,1442
Cherry Ave & Blackhawk St,member,1446
Clark St & Lunt Ave,casual,1465
University Library (NU),casual,1466
Damen Ave & Sunnyside Ave,casual,1474
Lake Park Ave & 47th St,member,1474
Damen Ave & Wabansia Ave,member,1491
Glenwood Ave & Touhy Ave,member,1497
Wells St & Institute Pl,member,1497
State St & 19th St,member,1499
Oakley Ave & Irving Park Rd,member,1505
Albany Ave & Montrose Ave,member,1506
Talman Ave & Addison St,casual,1534
Manor Ave & Leland Ave,member,1538
Lake Park Ave & 35th St,member,1547
Hampden Ct & Diversey Ave,casual,1554
St. Louis Ave & Fullerton Ave,casual,1557
May St & Cullerton St,member,1569
California Ave & Byron St,member,1573
Ashland Ave & Belle Plaine Ave,casual,1576
Central Park Ave & Elbridge Ave,casual,1580
State St & 33rd St,casual,1583
W Oakdale Ave & N Broadway,casual,1584
Buckingham Fountain (Temp),casual,1591
Winchester (Ravenswood) Ave & Balmoral Ave,member,1593
Spaulding Ave & Division St,member,1594
Racine Ave & Congress Pkwy,casual,1595
Bissell St & Armitage Ave,member,1611
California Ave & Altgeld St,casual,1614
